City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,77.16,overcast clouds,-23.1203,-134.9692,Pension Maro'i
10,Laguna,US,81.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
12,Souillac,MU,77.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
14,Kavaratti,IN,83.7,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
15,Kahului,US,78.8,few clouds,20.8947,-156.47,Maui Seaside Hotel
17,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
19,Bandarbeyla,SO,80.42,few clouds,9.4942,50.8122,JABIR HOTEL
25,Alofi,NU,80.6,broken clouds,-19.0595,-169.9187,Taloa Heights
35,Namibe,AO,83.39,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
36,Victoria,HK,75.0,broken clouds,22.2855,114.1577,Mini Hotel Central
39,Benghazi,LY,82.04,overcast clouds,32.1167,20.0667,Tibesti Hotel
43,Faanui,PF,82.35,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
44,Manaus,BR,82.4,light rain,-3.1019,-60.025,Manaus Hotéis Millennium
50,Edgewater,US,77.0,broken clouds,28.9889,-80.9023,Islander Beach Resort
51,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
52,Atuona,PF,80.19,overcast clouds,-9.8,-139.0333,Villa Enata
66,Ambon,ID,75.2,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
67,Miri,MY,77.0,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
68,Mahebourg,MU,77.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
69,Bambous Virieux,MU,80.01,scattered clouds,-20.3428,57.7575,Casa Tia Villa
70,Hilo,US,80.6,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
73,Lat Yao,TH,82.0,light rain,15.751,99.7893,ห้างหุ้นส่วนจำกัด ลาดยาวการเกษตร
75,Mersing,MY,75.2,overcast clouds,2.4312,103.8405,Timotel Hotel
83,Waingapu,ID,76.28,few clouds,-9.6567,120.2641,Pondok Wisata Elim
89,Teknaf,BD,77.14,scattered clouds,20.8624,92.3058,Forestry Guesthouse
90,Cam Ranh,VN,77.0,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
91,Chauk,MM,80.67,overcast clouds,20.8833,94.8167,Bo Khin Guest House
93,Atar,MR,78.85,clear sky,20.5169,-13.0499,Oumou Elghoura
94,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
96,Srivardhan,IN,78.91,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
97,Bosaso,SO,80.87,clear sky,11.2842,49.1816,Red Sea Hotel
104,Port Hedland,AU,77.0,clear sky,-20.3167,118.5667,The Esplanade Hotel
106,Georgetown,MY,77.0,moderate rain,5.4112,100.3354,Cititel Penang
107,San Policarpo,PH,80.49,overcast clouds,12.1791,125.5072,JM Lodge
108,Hithadhoo,MV,81.72,broken clouds,-0.6,73.0833,Scoop Guest House
111,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
112,Vanimo,PG,76.06,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
113,Rock Sound,BS,75.49,clear sky,24.9,-76.2,Rock Sound Club
119,Lorengau,PG,83.23,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
121,Kununurra,AU,78.8,broken clouds,-15.7667,128.7333,Hotel Kununurra
122,Astoria,US,77.0,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
124,Isangel,VU,77.0,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
127,Guatire,VE,84.2,scattered clouds,10.4762,-66.5427,Parque Residencial Canaima I
128,Kavieng,PG,79.21,light rain,-2.5744,150.7967,Nusa Island Retreat
130,Arraial Do Cabo,BR,77.0,clear sky,-22.9661,-42.0278,Pousada Porto Praia
131,Butaritari,KI,81.88,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
132,Avarua,CK,82.4,scattered clouds,-21.2078,-159.775,Paradise Inn
137,Puerto Ayora,EC,80.6,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
143,Cabo San Lucas,MX,82.4,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
147,Bontang,ID,75.31,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
148,Guira De Melena,CU,86.0,clear sky,22.7906,-82.5053,Finca Montiel
161,San Patricio,US,81.0,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
173,Kapoeta,SS,82.22,scattered clouds,4.7717,33.5903,Eastgate Hotel
182,Tabou,CI,80.67,broken clouds,4.423,-7.3528,hotêl doufoulougou
183,Kieta,PG,77.86,light rain,-6.2167,155.6333,Uruna Bay Retreat
185,Jacqueville,CI,84.2,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
188,Aquin,HT,81.14,clear sky,18.2833,-73.4,Asheev Beach
189,Banda Aceh,ID,79.86,overcast clouds,5.5577,95.3222,Sulthan Hotel International
192,Honavar,IN,80.87,few clouds,14.2833,74.45,Hotel Sagar Residency
194,Apan,MX,82.4,few clouds,19.7167,-98.4167,Hotel Boutique Llanos de apan
198,La Asuncion,VE,79.41,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
199,San Andres,CO,86.0,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
202,Meulaboh,ID,75.92,overcast clouds,4.1363,96.1285,Kost Pria
203,Mormugao,IN,82.4,few clouds,15.4,73.8,Coconut Creek Resort
206,Pedernales,DO,83.68,few clouds,18.0384,-71.744,Hotel Costa Marina
207,Tiarei,PF,87.8,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
219,Poum,NC,77.54,overcast clouds,-20.2333,164.0167,Gîte kajeon
229,Terra Santa,BR,76.53,light rain,-2.1042,-56.4869,Hotel Sarah
230,Makakilo City,US,78.8,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
231,Manicore,BR,86.0,light rain,-5.8092,-61.3003,Hotel Durval
235,Samarai,PG,82.53,broken clouds,-10.6167,150.6667,Nuli Sapi
244,Carauari,BR,75.47,heavy intensity rain,-4.8828,-66.8958,Hotel Fellip
248,Santa Rita,BR,80.6,few clouds,-7.1139,-34.9781,Infinity Motel
255,Sindgi,IN,87.78,broken clouds,16.9167,76.2333,Kadamba Residency
258,Guarapari,BR,75.2,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
262,Sao Joao Da Barra,BR,75.2,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
263,Auki,SB,82.13,few clouds,-8.7676,160.7034,Auki Motel
264,Kuala Terengganu,MY,78.8,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
278,Elat,IL,77.0,clear sky,29.5581,34.9482,Club Hotel Eilat
288,Santa Maria,BR,75.2,scattered clouds,-29.6842,-53.8069,Hotel Morotin
292,Boa Vista,BR,80.6,light rain,2.8197,-60.6733,Aipana Plaza Hotel
296,Lucea,JM,82.99,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
301,Ahuimanu,US,80.01,few clouds,21.4447,-157.8378,Paradise Bay Resort
306,Las Cruces,US,77.0,clear sky,32.3123,-106.7783,Days End Lodge
308,Vaitape,PF,82.36,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
309,Salalah,OM,80.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
311,Sola,VU,82.53,scattered clouds,-13.8833,167.55,Leumerus Bungalows
317,Resistencia,AR,77.0,light rain,-27.4606,-58.9839,Niyat Urban Hotel
324,Chabahar,IR,80.51,few clouds,25.2919,60.643,هتل گدروشیا
332,Garhi Khairo,PK,76.57,broken clouds,28.0606,67.9803,Bandh Ali Hotel
335,Yenangyaung,MM,80.01,overcast clouds,20.4667,94.8833,Hotel Country
339,Yaguachi,EC,89.6,light rain,-2.1167,-79.6833,ESTELA ORBE FIGUEROA
343,Solano,US,79.0,clear sky,38.2333,-121.9511,Travis AFB FamCamp
345,Sinnamary,GF,78.46,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
349,Veraval,IN,79.0,clear sky,20.9,70.3667,Lords Inn Somnath
350,Kupang,ID,75.56,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
353,Coos Bay,US,78.01,few clouds,43.3665,-124.2179,Best Western Holiday Hotel
355,Gurupi,BR,78.78,clear sky,-11.7292,-49.0686,Via Norte Hotel
357,Kudahuvadhoo,MV,82.33,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
359,Bonthe,SL,81.32,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
360,Iacu,BR,76.8,overcast clouds,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
361,Buala,SB,83.03,light rain,-8.145,159.5921,Maringe Lagoon Lodge
363,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
368,Novo Aripuana,BR,76.59,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
371,Mazatlan,MX,82.4,clear sky,23.2167,-106.4167,Hotel Club Playamar
378,Livramento,BR,82.4,light rain,-3.0254,-60.1803,Refúgio Samauma
379,Popondetta,PG,76.51,overcast clouds,-8.7537,148.2534,Timos Transit House
