City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cidreira,BR,-30.1811,-50.2056,71.26,81,99,5.17,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,77.16,70,100,10.18,overcast clouds
2,Nyimba,ZM,-14.5566,30.8149,62.85,72,0,4.92,clear sky
3,Boden,SE,65.8252,21.6886,30.2,93,15,2.3,few clouds
4,Bethel,US,41.3712,-73.414,48.2,57,90,9.22,overcast clouds
5,Punta Arenas,CL,-53.15,-70.9167,48.2,66,40,18.41,scattered clouds
6,Tasiilaq,GL,65.6145,-37.6368,26.6,93,75,31.07,snow
7,Mount Isa,AU,-20.7333,139.5,68.0,34,62,14.97,broken clouds
8,Sobolevo,RU,54.4299,31.8996,47.64,92,93,7.96,moderate rain
9,Dutlwe,BW,-23.9833,23.9,72.48,33,99,7.18,overcast clouds
10,Laguna,US,38.421,-121.4238,81.0,21,1,10.36,clear sky
11,Morondava,MG,-20.2833,44.2833,73.8,70,92,15.48,overcast clouds
12,Souillac,MU,-20.5167,57.5167,77.0,94,40,3.44,scattered clouds
13,Hermanus,ZA,-34.4187,19.2345,63.0,70,0,5.99,clear sky
14,Kavaratti,IN,10.5669,72.642,83.7,72,12,3.56,few clouds
15,Kahului,US,20.8947,-156.47,78.8,61,20,10.36,few clouds
16,Khatanga,RU,71.9667,102.5,8.04,95,100,9.1,light snow
17,Cayenne,GF,4.9333,-52.3333,82.4,74,65,5.75,broken clouds
18,Yagodnoye,RU,62.55,149.6667,10.92,78,8,3.78,clear sky
19,Bandarbeyla,SO,9.4942,50.8122,80.42,73,11,5.77,few clouds
20,Tatawin,TN,32.9297,10.4518,62.6,67,57,6.91,broken clouds
21,New Norfolk,AU,-42.7826,147.0587,54.0,78,100,5.01,light rain
22,Saint George,US,37.1041,-113.5841,68.0,19,1,5.41,clear sky
23,Lagoa,PT,39.05,-27.9833,61.48,95,100,13.76,overcast clouds
24,Baykit,RU,61.67,96.37,0.77,87,100,10.33,overcast clouds
25,Alofi,NU,-19.0595,-169.9187,80.6,78,68,6.91,broken clouds
26,Kidodi,TZ,-7.6036,37.0044,70.34,96,29,2.46,light rain
27,Lappeenranta,FI,61.0587,28.1887,41.0,45,0,8.05,clear sky
28,Ribeira Grande,PT,38.5167,-28.7,62.6,100,75,16.11,mist
29,Port-Cartier,CA,50.0334,-66.8654,37.99,65,20,14.97,few clouds
30,Husavik,IS,66.0449,-17.3389,41.0,70,20,20.71,few clouds
31,Bredasdorp,ZA,-34.5322,20.0403,55.4,82,0,5.75,clear sky
32,Penzance,GB,50.1186,-5.5371,46.0,65,40,5.75,scattered clouds
33,Port Alfred,ZA,-33.5906,26.891,62.22,63,4,17.83,clear sky
34,Severo-Yeniseyskiy,RU,60.3725,93.0408,0.1,90,100,9.33,overcast clouds
35,Namibe,AO,-15.1961,12.1522,83.39,62,0,2.73,clear sky
36,Victoria,HK,22.2855,114.1577,75.0,88,75,6.82,broken clouds
37,Katsuura,JP,35.1333,140.3,59.0,78,100,16.51,overcast clouds
38,Airai,TL,-8.9266,125.4092,57.7,83,61,2.84,broken clouds
39,Benghazi,LY,32.1167,20.0667,82.04,25,94,28.79,overcast clouds
40,Victor Harbor,AU,-35.5667,138.6167,55.0,74,37,5.53,scattered clouds
41,Cape Town,ZA,-33.9258,18.4232,70.0,77,0,1.14,clear sky
42,Christchurch,NZ,-43.5333,172.6333,53.01,93,75,8.05,broken clouds
43,Faanui,PF,-16.4833,-151.75,82.35,73,11,8.99,few clouds
44,Manaus,BR,-3.1019,-60.025,82.4,74,40,4.61,light rain
45,Erice,IT,38.037,12.5865,61.0,88,20,4.61,few clouds
46,Port Elizabeth,ZA,-33.918,25.5701,60.8,77,40,11.5,scattered clouds
47,Ushuaia,AR,-54.8,-68.3,44.6,70,40,31.07,scattered clouds
48,Busselton,AU,-33.65,115.3333,55.99,88,48,8.63,scattered clouds
49,Constitucion,CL,-35.3333,-72.4167,59.31,75,99,9.37,overcast clouds
50,Edgewater,US,28.9889,-80.9023,77.0,78,75,9.22,broken clouds
51,Vaini,TO,-21.2,-175.2,78.8,65,20,4.61,few clouds
52,Atuona,PF,-9.8,-139.0333,80.19,79,91,18.01,overcast clouds
53,Upernavik,GL,72.7868,-56.1549,-2.49,88,100,7.14,overcast clouds
54,Mildura,AU,-34.2,142.15,41.0,75,1,6.91,clear sky
55,Lerwick,GB,60.1545,-1.1494,43.32,86,100,15.93,overcast clouds
56,Talnakh,RU,69.4865,88.3972,-10.41,99,100,3.13,overcast clouds
57,Broome,US,42.2506,-75.833,41.0,93,90,8.05,light rain
58,Chubbuck,US,42.9208,-112.4661,48.99,40,75,12.66,broken clouds
59,Hay River,CA,60.8156,-115.7999,44.6,52,100,5.75,overcast clouds
60,Vardo,NO,70.3705,31.1107,37.4,81,0,13.8,clear sky
61,Praia Da Vitoria,PT,38.7333,-27.0667,63.0,82,75,17.69,broken clouds
62,Paamiut,GL,61.994,-49.6678,16.83,73,77,20.65,light snow
63,Cherepovets,RU,59.1333,37.9,41.0,38,0,6.71,clear sky
64,Mehran,IR,33.1222,46.1646,51.8,37,0,2.3,clear sky
65,Castro,BR,-24.7911,-50.0119,63.03,68,84,3.09,broken clouds
66,Ambon,ID,-3.6954,128.1814,75.2,100,40,8.05,scattered clouds
67,Miri,MY,4.4148,114.0089,77.0,94,20,1.14,few clouds
68,Mahebourg,MU,-20.4081,57.7,77.0,94,40,3.44,scattered clouds
69,Bambous Virieux,MU,-20.3428,57.7575,80.01,94,40,3.44,scattered clouds
70,Hilo,US,19.7297,-155.09,80.6,50,1,9.22,clear sky
71,Qaanaaq,GL,77.484,-69.3632,4.28,73,0,7.85,clear sky
72,Nikolskoye,RU,59.7035,30.7861,46.4,34,0,13.42,clear sky
73,Lat Yao,TH,15.751,99.7893,82.0,97,100,3.49,light rain
74,Pingliang,CN,35.5392,106.6861,40.08,31,77,3.44,broken clouds
75,Mersing,MY,2.4312,103.8405,75.2,94,100,5.75,overcast clouds
76,Mataura,NZ,-46.1927,168.8643,44.01,92,93,4.0,overcast clouds
77,Thompson,CA,55.7435,-97.8558,48.2,27,20,2.3,few clouds
78,Saskylakh,RU,71.9167,114.0833,7.93,94,100,14.12,light snow
79,Kodiak,US,57.79,-152.4072,46.4,71,75,11.5,broken clouds
80,Port Lincoln,AU,-34.7333,135.8667,56.98,72,10,5.93,clear sky
81,Vanderhoof,CA,54.0166,-124.0198,54.43,67,95,3.51,overcast clouds
82,Shuyskoye,RU,59.3736,41.0305,35.22,87,7,5.46,clear sky
83,Waingapu,ID,-9.6567,120.2641,76.28,86,22,6.15,few clouds
84,Luderitz,NA,-26.6481,15.1594,72.32,49,100,3.71,overcast clouds
85,Aklavik,CA,68.2191,-135.0107,26.6,59,20,3.44,few clouds
86,Albany,US,42.6001,-73.9662,43.0,76,100,8.59,moderate rain
87,Mar Del Plata,AR,-38.0023,-57.5575,64.99,88,0,6.91,clear sky
88,Pacific Grove,US,36.6177,-121.9166,57.2,67,1,10.36,clear sky
89,Teknaf,BD,20.8624,92.3058,77.14,73,49,2.73,scattered clouds
90,Cam Ranh,VN,11.9214,109.1591,77.0,88,20,3.44,few clouds
91,Chauk,MM,20.8833,94.8167,80.67,50,88,9.42,overcast clouds
92,Nouadhibou,MR,20.931,-17.0347,68.0,73,0,18.41,clear sky
93,Atar,MR,20.5169,-13.0499,78.85,16,0,9.78,clear sky
94,Kapaa,US,22.0752,-159.319,75.2,73,40,13.8,light rain
95,Antalaha,MG,-14.9003,50.2788,74.84,90,73,3.87,broken clouds
96,Srivardhan,IN,18.0333,73.0167,78.91,72,0,8.01,clear sky
97,Bosaso,SO,11.2842,49.1816,80.87,63,3,3.44,clear sky
98,Ulladulla,AU,-35.35,150.4667,54.0,82,40,6.91,scattered clouds
99,Mehamn,NO,71.0357,27.8492,41.0,81,75,27.63,broken clouds
100,Obo,CF,5.3998,26.4869,74.3,57,8,2.71,clear sky
101,Oranjemund,NA,-28.55,16.4333,78.51,35,33,10.49,scattered clouds
102,Saint Marys,US,30.7305,-81.5465,66.2,94,75,6.91,broken clouds
103,Guerrero Negro,MX,27.9769,-114.0611,66.06,56,1,20.4,clear sky
104,Port Hedland,AU,-20.3167,118.5667,77.0,53,0,8.05,clear sky
105,Pomabamba,PE,-8.8333,-77.4667,59.77,58,98,5.5,light rain
106,Georgetown,MY,5.4112,100.3354,77.0,88,40,3.44,moderate rain
107,San Policarpo,PH,12.1791,125.5072,80.49,81,100,12.44,overcast clouds
108,Hithadhoo,MV,-0.6,73.0833,81.72,62,67,1.19,broken clouds
109,Belaya Gora,RU,68.5333,146.4167,7.74,82,37,7.43,scattered clouds
110,Zhezkazgan,KZ,47.8043,67.7144,53.22,41,14,6.33,few clouds
111,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,0,4.61,clear sky
112,Vanimo,PG,-2.6741,141.3028,76.06,93,100,3.8,moderate rain
113,Rock Sound,BS,24.9,-76.2,75.49,69,0,8.01,clear sky
114,Bousso,TD,10.4795,16.7117,87.71,11,42,5.5,scattered clouds
115,Shingu,JP,33.7333,135.9833,61.07,93,100,13.02,overcast clouds
116,Nanortalik,GL,60.1432,-45.2371,21.06,57,37,51.07,scattered clouds
117,Dali,CN,25.7,100.1833,59.54,47,100,4.83,overcast clouds
118,Skibbereen,IE,51.55,-9.2667,44.6,76,75,9.22,broken clouds
119,Lorengau,PG,-2.0226,147.2712,83.23,75,100,5.28,overcast clouds
