City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mahebourg,MU,2021-04-12 21:40:11,-20.4081,57.7,75.2,94,75,6.91
1,Rikitea,PF,2021-04-12 21:37:04,-23.1203,-134.9692,78.55,68,6,10.31
2,Qaanaaq,GL,2021-04-12 21:40:06,77.484,-69.3632,0.82,86,17,2.95
3,Hermanus,ZA,2021-04-12 21:40:01,-34.4187,19.2345,63.0,91,75,5.01
4,Vardo,NO,2021-04-12 21:40:11,70.3705,31.1107,23.0,80,0,17.27
5,Cape Town,ZA,2021-04-12 21:36:04,-33.9258,18.4232,64.0,94,0,10.36
6,Punta Arenas,CL,2021-04-12 21:35:21,-53.15,-70.9167,50.0,53,75,12.66
7,Vaini,TO,2021-04-12 21:40:12,-21.2,-175.2,80.6,74,20,8.05
8,Bredasdorp,ZA,2021-04-12 21:39:40,-34.5322,20.0403,66.2,77,66,8.05
9,Ushuaia,AR,2021-04-12 21:40:12,-54.8,-68.3,50.0,43,20,4.61
10,San Patricio,US,2021-04-12 21:40:13,28.017,-97.5169,84.2,65,90,19.57
11,Tonekabon,IR,2021-04-12 21:40:13,36.8163,50.8738,57.2,100,75,2.3
12,Ojinaga,MX,2021-04-12 21:40:13,29.5667,-104.4167,91.4,6,1,5.75
13,Te Anau,NZ,2021-04-12 21:40:14,-45.4167,167.7167,49.91,90,100,0.6
14,Amga,RU,2021-04-12 21:40:14,60.8953,131.9608,13.69,93,100,1.54
15,Severo-Kurilsk,RU,2021-04-12 21:37:10,50.6789,156.125,34.25,96,100,3.96
16,Albany,US,2021-04-12 21:40:15,42.6001,-73.9662,51.8,71,90,3.44
17,Thompson,CA,2021-04-12 21:40:13,55.7435,-97.8558,26.6,50,90,14.97
18,Lexington,US,2021-04-12 21:37:36,37.9887,-84.4777,66.99,42,1,14.97
19,Alice Springs,AU,2021-04-12 21:38:37,-23.7,133.8833,59.0,50,99,8.05
20,Dikson,RU,2021-04-12 21:39:41,73.5069,80.5464,24.82,87,100,15.1
21,Clyde River,CA,2021-04-12 21:40:16,70.4692,-68.5914,21.2,93,90,18.41
22,Ovsyanka,RU,2021-04-12 21:40:16,55.9575,92.5519,35.6,93,75,11.18
23,Bengkulu,ID,2021-04-12 21:40:17,-3.8004,102.2655,76.33,87,100,3.53
24,Mataura,NZ,2021-04-12 21:39:22,-46.1927,168.8643,53.01,96,100,0.78
25,Bethel,US,2021-04-12 21:40:17,41.3712,-73.414,48.0,93,100,8.63
26,Gingelom,BE,2021-04-12 21:40:18,50.75,5.1333,35.6,93,20,4.61
27,Tiksi,RU,2021-04-12 21:40:18,71.6872,128.8694,5.5,90,90,7.78
28,Kichera,RU,2021-04-12 21:40:18,55.9375,110.0997,14.52,92,94,2.44
29,Kamina,CD,2021-04-12 21:40:19,-8.7386,24.9906,61.48,97,70,3.33
30,Yellowknife,CA,2021-04-12 21:35:50,62.456,-114.3525,18.0,67,40,21.85
31,Vanderhoof,CA,2021-04-12 21:40:19,54.0166,-124.0198,48.2,34,3,3.49
32,Laguna,US,2021-04-12 21:40:19,38.421,-121.4238,82.99,13,1,4.61
33,Barrow,US,2021-04-12 21:36:09,71.2906,-156.7887,-2.2,60,75,14.97
34,New Norfolk,AU,2021-04-12 21:37:44,-42.7826,147.0587,45.0,87,100,2.28
35,Hasaki,JP,2021-04-12 21:40:20,35.7333,140.8333,53.6,87,75,4.61
36,Vikulovo,RU,2021-04-12 21:40:21,56.8167,70.6107,31.15,91,6,4.45
37,Kathmandu,NP,2021-04-12 21:40:21,27.7167,85.3167,57.2,54,20,3.44
38,Karatsu,JP,2021-04-12 21:40:21,33.4425,129.9697,61.0,82,100,3.0
39,Kavaratti,IN,2021-04-12 21:40:22,10.5669,72.642,82.62,75,59,7.38
40,Port Alfred,ZA,2021-04-12 21:40:22,-33.5906,26.891,70.45,94,87,4.09
41,Castro,BR,2021-04-12 21:40:23,-24.7911,-50.0119,65.17,92,30,3.27
42,Cockburn Town,TC,2021-04-12 21:37:36,21.4612,-71.1419,78.8,73,20,6.91
43,Boa Vista,BR,2021-04-12 21:40:23,2.8197,-60.6733,89.6,51,40,4.61
44,Caravelas,BR,2021-04-12 21:40:23,-17.7125,-39.2481,75.25,73,39,6.87
45,Kahului,US,2021-04-12 21:40:24,20.8947,-156.47,78.8,61,40,14.97
46,Hobart,AU,2021-04-12 21:39:53,-42.8794,147.3294,45.0,87,75,8.05
47,Busselton,AU,2021-04-12 21:36:58,-33.65,115.3333,50.0,88,100,3.0
48,Comarapa,BO,2021-04-12 21:40:25,-17.9,-64.4833,57.13,90,99,1.77
49,San Rafael,AR,2021-04-12 21:40:25,-34.6177,-68.3301,71.1,28,0,11.7
50,Port Elizabeth,ZA,2021-04-12 21:37:20,-33.918,25.5701,68.0,100,90,3.44
51,Pelym,RU,2021-04-12 21:40:25,61.0108,61.9978,32.32,91,16,6.44
52,Samarai,PG,2021-04-12 21:40:26,-10.6167,150.6667,80.92,63,66,11.72
53,Khatanga,RU,2021-04-12 21:40:26,71.9667,102.5,20.44,92,99,9.51
54,Bandarbeyla,SO,2021-04-12 21:40:26,9.4942,50.8122,78.73,72,98,7.14
55,Guerrero Negro,MX,2021-04-12 21:40:27,27.9769,-114.0611,65.62,59,0,18.79
56,Eyl,SO,2021-04-12 21:40:27,7.9803,49.8164,78.62,71,100,9.48
57,Yar-Sale,RU,2021-04-12 21:40:28,66.8333,70.8333,27.57,82,50,22.91
58,Puerto Colombia,CO,2021-04-12 21:40:28,10.9878,-74.9547,82.4,78,40,14.97
59,Lincoln,US,2021-04-12 21:39:12,40.8,-96.667,59.0,25,1,13.8
60,Aswan,EG,2021-04-12 21:38:07,24.0934,32.907,67.53,18,0,13.06
61,Mount Isa,AU,2021-04-12 21:40:29,-20.7333,139.5,51.8,46,21,3.44
62,Nicoya,CR,2021-04-12 21:40:29,10.1483,-85.452,89.6,58,20,12.66
63,Ketchikan,US,2021-04-12 21:40:29,55.3422,-131.6461,44.6,57,20,6.91
